Fecha,Hora Local,Magnitud,Profundidad en km,Localizacion,Origen,Reportado,Latitud,Longitud
2009-10-02,03:24:00,4.2,58,9 kms Sur Oeste de Santiago de Puriscal,Subduccion,"San Jose, Santa Ana, Puriscal",9.784,-84.375
2009-10-02,18:26:00,3.5,70,10 km SE Las Juntas de Abangares,Tectonico por subduccion,Las Juntas y Miramar,10.25,-84.85
2009-09-29,17:03:00,3.2,15,5km NO de Fortuna de Bagaces,Tectonico por falla local,"Fortuna de Bagaces, Guayabo, Nicoya",10.724,-85.214
2009-09-28,08:15:00,2.5,1,Pacayas de Cartago,Fallamiento Local,Pacayas,9.928,-83.827
2009-09-21,03:01:00,3.5,17,10 km SO de Siquirres,Tectonico por falla local,Turrialba,10.067,-83.581
2009-09-05,23:02:00,5.4,49,7 km al O de Coto47 Puntarenas,Tectonico por Subduccion,"Ciudad Neily, Buenos Aires, Golfito, Rio Claro, Quepos, Cartago, San Jose",8.624,-83.024
2009-09-01,20:57:00,2.4,3.5,4 km NE Pacayas,Tectonico por fallamiento local,Pacayas,9.95,-83.8
2009-08-19,05:30:00,4.4,56,10 kms al SE de Santiago Puriscal,Tectonico Intraplaca Coco,San Jose,9.796,-84.279
2009-08-13,03:37:00,5.6,10,Oceacno Pacifico. 275 km Sur Oeste de San Jose,Deformacion de la Placa de Coco,Valle Central Leve,8.2,-85.632
2009-08-09,15:57:00,4,30,"4 Kms, SO de Golfito",Tectonico,Zona Sur,8.607,-83.221
2009-08-01,05:38:00,3.3,10,12 km NE de Heredia,Fallamiento Local,Heredia,10.073,-84.041
2009-08-01,19:59:00,3.1,9,12 Kms. al NE de la Ciudad de Heredia,Fallamiento local,Sentido leve en Heredia y San Jose,10.079,-84.04
2009-07-31,15:28:00,4.4,94,9 km Norte de Zarcero,Subduccion,Valle Central,10.262,-84.367
2009-07-30,15:22:00,3.1,5,7 km Norte de San  Josecito de San Isidro de Heredia.,Fallamiento Local,San Jose y Heredia,10.085,-84.035
2009-07-29,22:16:00,4.2,37,6 Km NO Puntarenas,Subduccion,"Miramar, Paquera, Arancibia",10.024,-84.863
2009-07-15,02:54:00,2.2,7,6 Km al Nor Oeste de Guápiles,Fallamiento local,Guapiles,10.268,-83.835
2009-07-15,14:42:00,2.6,10,2 km al Norte de Bajos del Toro,Fallamiento Local,Cariblanco y Bajos del Toro,10.245,-84.265
2009-07-02,11:06:00,4,23,26 km Sur Este de Cabo Blanco. Pla. de Nicoya,Subducción,San José,9.508,-84.878
2009-07-02,15:51:00,2.1,11.5,2 km Este de Venecia,fallamiento local,Venecia de San Carlos,10.353,-84.256
2009-06-30,20:35:00,2.7,12,3 km al sur/oeste de Cariblanco,Fallamiento local,"San Miguel, Cariblanco, La Virgen",10.15,-84.13
2009-06-30,20:37:00,2.3,10,3 Kms Sur Oeste de Cariblanco,fallamiento local,"San Miguel de Sarapiquí , puerto Viejo",10.265,-84.219
2009-06-30,20:50:00,2.3,9,"San Miguel de Sarapiquí , puerto Viejo",fallamiento local,"San Miguel de Sarapiquí , puerto Viejo",10.237,-84.219
2009-06-25,19:44:00,2.8,1.8,3 km al sur/oeste de Cariblanco,Fallamiento local,Volcán Poás,10.147,-84.224
2009-06-24,13:43:00,2.3,12.8,13 kms al Sur Oeste de Santa Clara. San Carlos,Fallamiento local,Venecia de San Carlos,10.354,-84.278
2009-06-24,13:42:00,2.8,8,01:44,Fallamiento local,Venecia de San Carlos,10.263,-84.583
2009-06-18,07:14:00,2.9,3.3,12 kms  Este de Zarcero,Fallamiento local,Toro Amarillo,10.237,-84.246
2009-05-31,18:32:00,2,3.1,5 km noreste de LLano Grande,fallamiento local,"Cartago, Pacayas, Turrialba",9.968,-83.882
2009-05-31,19:32:00,1.6,0.2,5 km NE Llano Grande,fallamiento local,"volcán Irazú, Reventado, Piedra Grande, Misión Norte (Cartago)",9.959,-83.877
2009-05-31,18:32:00,4.7,2.3,22 km al NE de Sixaola,fallamiento local,"Cartago, Pacayas, Turrialba",9.98,-83.889
2009-05-31,23:51:00,2.8,44,5 km al Nor Oeste del Volcán Poás,Subduccion,"Buenos Aires, Palmital, Durica",9.69,-82.551
2009-05-26,04:58:00,2.2,3,"1 km sur oeste, Venecia de San Carlos",Fallamiento local,"Venecia, La Colonia Bajos del Toro",10.366,-84.288
2009-05-25,02:10:00,2.8,4,2 kms al Oeste de Vara Blanca,fallamiento local,Vara Blanca,10.183,-84.181
2009-05-23,01:32:00,2.7,7,7 kms Nor Este de Naranjo,fallamiento local,Naranjo y Vara Blanca,10.144,-84.334
2009-05-20,08:59:00,3.9,75,7 km al Este de San Jose,Tectonico por subduccion,San Jose,9.923,-84.024
2009-05-16,00:57:00,4.6,15,15 km N de Dominical,Fallamiento local,"Palmital, Dos Bocas de Perez Zeledon",9.23,-83.53
2009-05-08,02:33:00,4.7,30,12 km E Ciudad Neily,tectonico por Subduccion Placa Coco bajo placa Panama,"Linda Vista, Palmital, Perez Zeledon, Durika, Pta Burica, Limon, Cartago",8.672,-82.837
2009-04-25,18:22:00,3.4,43,13 NNE de Quepos,subduccion,Palmital de Acosta,9.54,-84.12
2009-04-21,18:55:00,4.3,9,28 km SW de Parrita,subduccion,San Isidro de Parrita y Pavas,9.405,-84.556
2009-04-20,17:54:00,4.9,30,"52 km oeste de Tamarindo, Gte",subduccion,Nicoya,10.27,-86.253
2009-04-09,17:05:00,3,3,3 km NO de Venecia San Carlos,fallamiento local,Venecia de San Carlos,10.369,-84.293
2009-04-06,22:26:00,2.4,3.5,3 km al Suroeste de Venecia de San Carlos,fallamiento local,Venecia,10.342,-84.298
2009-03-27,18:00:00,3.5,11.3,11 km SO de Horquetas de Sarapiquì,fallamiento local,Sarapiqui,10.266,-84.028
2009-03-18,07:59:00,3,4,4 Km al sur del Cerro Platanar,Fallamiento Local,"Venecia, San Carlos",10.275,-84.208
2009-03-13,00:11:00,4.6,20,5 Km al Oeste de Puerto Jimenez,Subduccion,Zona Sur,8.534,-83.356
2009-03-13,10:54:00,4.9,14,13 km sur de Golfito,Subduccion,Zona Sur,8.542,-83.212
2009-03-13,11:33:00,5.4,24,3 km al SurEste de Puerto Jimenez,Subduccion,Zona Sur,8.524,-83.292
2009-03-13,15:23:00,4,19,17 km SurOeste de Golfito,Subduccion,Zona Sur,8.518,-83.248
2009-03-12,07:57:00,4.3,21,4 km Sur de Golfito,Subduccion Cocos con respecto al bloque de Panama,Leve en la Zona Sur,8.605,-83.193
2009-03-12,10:30:00,4,23,14 km al Sur Este de Golfito,Subduccion,Zona Sur,8.553,-83.248
2009-03-12,17:23:00,6.5,18,280 km al Sur de Punta Burica,Zona de Fractura de Panama,Zona Sur y Valle Central,5.661,-82.299
2009-03-11,11:24:00,6.3,28,12 km al SurOeste de Golfito,Subduccion Cocos con respecto al bloque de Panama,"Zona Sur, Valle Central",8.545,-83.247
2009-03-11,11:26:00,5.2,25,12 km al SurOeste de Golfito,Subduccion,Todo el pais,8.553,-83.066
2009-03-11,15:03:00,5.8,22,12 km Sur de Golfito,Subduccion,"Valle Central, Zona Sur",8.491,-83.271
2010-12-29,11:13:00,5.1,13,8 km al sur de Limon,Fallamiento local,Limon y Valle de la Estrella,9.9243,-83.0524
2010-12-16,22:56:00,3.8,11,"25 Kms al Norte de CaÃ±as, Guanacaste",Tectonico por fallamiento local,"CaÃ±as, Colonia Nueva Guatemala",10.683,-85.066
2010-12-08,12:27:00,3.7,18,12 km Sur Este de Filadelfia. Guanacaste,Fallamiento Local,Bagaces,10.31,-85.392
2010-12-07,11:12:00,4,2,16 km Sur Este de Cobano.,Fallamiento Local,CÃ³bano,9.584,-84.996
2010-11-22,08:32:00,3.8,14,10 Km Nor Este de Perez Zeledon.,Fallamiento Local.,Quebradas Arriba de Perez Zeledon.,9.461,-83.68
2010-11-22,01:12:00,4.8,6,13 km Sur Oeste de  Jaco.,Subduccion,CÃ³bano y Puntarenas Centro.,9.485,-84.662
2010-11-12,04:56:00,4,30,15 km al SO de Quepos,Tectonico por subduccion,Valle Central,9.18,-84.14
2010-10-14,06:19:00,3.4,18,7 kms Sur Oeste de San Marcos de Tarrazu,Fallamiento Local,Cartago,9.631,-84.103
2010-10-11,09:34:00,3.3,20,10km al Este de Zarcero,Intraplaca Coco,Valle Central,10.193,-84.3
2010-10-08,19:54:00,5.9,100,9 km este de Zarcero,Intraplaca Coco,"Valle Central , Alajuela , Heredia , Puntarenas , Guanacaste , Zarcero , San Marcos , y Limon leve.",10.169,-84.296
2010-10-08,21:30:00,5,20,15 km al sur de Laurel zona sur del pais,zona fractura Panama,"Zona Sur, Laurel, Golfito, Villa Neilly",8.202,-83.002
2010-10-05,19:53:00,3.4,15,20 km Sur Oeste de San Marcos de Tarrazu,Fallamiento Local,Escazu y Heredia,9.636,-84.207
2010-10-03,20:29:00,4.2,48,22 Km Sur Oeste de San Isidro. Perez Zeledon.,Subduccion,Valle Central.,9.203,-83.784
2010-09-29,04:31:00,3.9,12,35 km Nor Oeste de Playa Ostional,Subduccion,Playa Tamarindo,10.094,-85.994
2010-09-29,04:34:00,3.5,17,40 km Nor Oeste de Playa Ostional,Subduccion,Playa Tamarindo,10.039,-86.046
2010-09-27,08:33:00,4,7,13 km Sur Este de Cabo Blanco. Pla. de Nicoya,Fallamiento Local,CÃ³bano y Valle Central,9.548,-85.014
2010-09-26,16:49:00,3.6,35,15 Km Sur Este de Nicoya,Subduccion,Cobano,10.095,-85.31
2010-09-24,09:03:00,3.7,73,3 km Sur Este de Curridabat,Deformacion de la placa Coco,Valle Central,9.914,-84.034
2010-09-24,03:19:00,3.4,10,17 km SE de Cobano,Tectonico por subduccion,"Cobano, Montezuma",9.485,-85.03
2010-09-20,00:40:00,4.1,10,11 km al Norte de San Vito. Zona Sur.,Fallamiento Local.,Zona Sur. Fuerte,8.93,-82.968
2010-09-18,02:59:00,4.1,13,"16 km SE de Cobano, Puntarenas",Subduccion,"Alrededores de Cobano, Puntarenas",9.582,-85.032
2010-09-18,16:10:00,4.8,15,"16 km al sur este de CÃ³bano, Puntarenas",TectÃ³nico por SubducciÃ³n,"Alrededores deCÃ³bano, Puntarenas, Nadayure, Valle Central",9.591,-85.0395
2010-09-18,16:15:00,2.8,10,"16 km al sur este de Cobano, Puntarenas",Tectonico por Subduccion,Alrededores de CÃ³bano,9.602,-85.04
2010-09-16,09:27:00,5.3,15,17 km sureste de cobano,tectonico por subduccion,"cobano, puntarenas, valle central, san carlos, zona sur",9.591,-85.039
2010-09-16,09:32:00,3.6,15,12 km al sureste de cobano,tectonico por subduccion,cobano,9.616,-85.051
2010-09-16,09:59:00,3.3,14,13 km al sureste de cobano,tectonico por subduccion,cobano,9.608,-85.039
2010-09-16,10:14:00,2.7,13,11 km al sureste de cobano,tectonico por subduccion,cobano,9.619,-85.028
2010-09-16,10:38:00,3.9,14,12 km al sureste de cobano,tectonico por subduccion,cobano,9.613,-85.028
2010-09-16,10:34:00,4.6,12,"17 km al sur este de Cobano, Puntarenas",TectÃ³nico por SubducciÃ³n,"Cobano, Puntarenas",9.59,-85.04
2010-09-16,11:36:00,4.1,12,"12 km sur este de Cobano, Puntarenas",TectÃ³nico por SubducciÃ³n,"Cobano, Puntarenas",9.591,-85.0395
2010-09-12,07:26:00,4.5,2.2,"28 km al NE de San Vito, Coto Brus",Fallamiento local,"Zona Sur, Rio Claro, Golfito, Sa Isidro y Durika",9.04,-82.8
2010-09-06,21:32:00,4.1,14,Frente a Quepos,Subduccion,Quepos,9.399,-84.261
2010-09-02,06:10:00,2.8,14,19 km norte de Buenos Aires de Puntarenas,Fallamiento local,Puesto Durika,9.355,-83.272
2010-09-01,07:23:00,3.3,11,20 km  Norte de Buenos Aires de Puntarenas.,Fallamiento Local.,Puesto Durika,9.364,-83.274
2010-09-01,08:19:00,2.7,7.5,20 km Norte de Buenos Aires de Puntarenas.,Fallamiento Local.,Durika.,9.347,-83.286
2010-09-01,09:58:00,3.1,16,20 km Norte de Buenos Aires. Puntarenas.,Fallamiento Local.,Durika,9.366,-83.268
2010-08-27,14:16:00,4,5,23 km N de Buenos Aires de Puntarenas,Fallamiento Local,Buenos Aires de Puntarenas,9.36,-83.25
2010-08-27,05:38:00,3.7,2,23 km N de Buenos Aires de Puntarenas,Fallamiento Local,Buenos Aires de Puntarenas,9.36,-83.27
2010-08-26,14:44:00,2.9,10,20 km norte de Buenos Aires de Puntarenas,Fallamiento Local,UjarrÃ¡z de Buenos Aires de Puntarenas,9.349,-83.249
2010-08-24,13:51:00,3.7,10,5 km Sur Este de Cabo Blanco.,Subduccion,Cobano,9.536,-85.082
2010-08-15,06:36:00,5,17,43 km SO de Uvita Puntarenas,Tectonico por subduccion,"San Rafel de Irazu, San Jose",8.9477,-84.0689
2010-08-06,11:33:00,4.8,40,80 km al oeste de playas del coco,Tectonico por subduccion,Guanacaste,10.5564,-86.4359
2010-08-03,20:56:00,3,12,3 km al sureste del crater del volcan Irazu,Fallamiento local,San Rafael de Irazu,9.9528,-83.8367
2010-07-31,09:19:00,3.2,14,11 km NE de San isidro de Coronado,Fallamiento Local,"San Jose, Heredia, Cartago",10.0442,-83.9411
2010-07-29,08:31:00,4.1,25,8 km Nor Oeste de San Vito de Coto Brus,Tectonico,Zona Sur,8.884,-82.989
2010-07-28,15:51:00,4.3,15,15 km Sur de Golfito,Tectonico por subduccion,Zona Sur,8.5264,-83.2293
2010-07-27,09:00:00,3.3,24,10 km Nor Oeste de Nicoya,Subduccion,Nicoya,10.217,-85.501
2010-07-27,07:00:00,3.4,5,5 km Nor Este del Volcan Irazu,Fallamiento Local,Irazu y Volcan Turrialba,9.979,-83.819
2010-07-22,05:50:00,3.1,5,4 km Sur Oste del crater del  V. Irazu,Fallamiento local,Volcan Irazu,9.96,-83.88
2010-07-22,12:39:00,4.1,20,4 km Oeste de Puerto Armuelles.,Subduccion,Rio Claro,8.27,-82.914
2010-07-08,10:31:00,5,40,10km SO de Orotina,"Tectonico por subduccion, Placa de Coco bajo Caribe",Todo el pais,9.8578,-84.59
2010-07-06,21:44:00,3.8,15,2 km NE de Bijagua de Upala,Fallamiento Local,Bijagua de Upala,10.744,-85.0853
2010-07-02,06:16:00,3.3,17,8 km Sur Este de Golfito,Subduccion,Rio Claro,8.581,-83.142
2010-06-30,01:45:00,4,58,25km al NorEste de Quepos,"Tectonico por subduccion, Placa de Coco bajo Bloque de Panama","Heredia, Perez Zeledon",9.464,-84.013
2010-06-30,13:35:00,2.5,1,5 km Nor Oeste de Pacayas,Fallamiento Local,Pacayas,9.956,-83.843
2010-06-30,13:36:00,3,5,5 km Nor Oeste de Pacayas,Fallamiento Local,Pacayas,9.953,-83.856
2010-06-24,17:26:00,3.8,1.5,Bocas del Toro (Panama),Subduccion Placa Caribe  bajo Microplaca de Panama,"Bocas del Toro (Panama), sentido leve en Costa Rica",9.3631,-82.5271
2010-06-21,17:12:00,3.7,18,4km SO de Parrita Puntarenas,Tectonico por Subduccion,Quepos,9.5487,-84.2781
2010-06-19,06:44:00,2.6,1,7km Sur Ciudad Quesada,Fallamiento Local,Ciudad Quesada,10.266,-84.416
2010-06-09,20:34:00,3.8,16,25 km Sur Oeste de Quepos,Subduccion de la placa Coco bajo Bloque de Panama,Playas del Coco y Quepos,9.314,-84.2
2010-05-31,21:26:00,6.2,16,25 km al SO de Puerto Quepos,Subduccion entre la placa Coco y Bloque de Panama,La mayor parte del pais,9.2221,-84.2406
2010-05-26,06:46:00,5.6,35,15 km Sur de Samara,Subduccion,"Zona Norte, Valle Central leve en la Zona Sur.",9.763,-85.496
2010-05-20,16:16:00,6.1,10,30 km sur oeste de Puerto Quepos,Subduccion de la placa del Coco por debajo de la microplaca de Panama,"Canas, Zona sur, Quepos, Valle Central; San Jose, Perez Zeledon, Cartago, Puntarenas, Bahia Drake",9.2221,-84.2406
2010-05-13,03:58:00,4.7,18,22 km Sur Oeste de Changuinola. Frontera con Panama.,Cinturon deformado del Norte de Panama,Zona Sur.,9.314,-82.835
2010-05-12,07:56:00,4.6,4,Costa Caribe de Nicaragua. Fronteriza con Costa Rica.,Asociado al Escarpe de Hess.,Caribe de Costa Rica.,11.294,-83.02
2010-05-12,19:16:00,3.6,11.3,15km NE de Los Angeles de Poas,Tectonico por fallamiento local,"San Jose de la Montana, Barva de Heredia",9.9629,-84.1523
2010-04-30,08:43:00,4,4,2km NE Volcan Irazu,Fallamiento Local,Cot de Oreamuno y Tierra Blanca,9.983,-83.856
2010-04-29,02:40:00,2.6,5,13 km Este de ParaÃ­so de Cartago.,Fallamiento Local.,ParaÃ­so.,9.857,-83.795
2010-04-22,15:05:00,3.7,16,8 km SSE de Golfito,SubducciÃ³n Coco-Microplaca de PanamÃ¡,Golfito,8.583,-83.158
2010-04-21,00:24:00,2.9,5,11 km Nor Oeste de Guapiles,Fallamiento Local.,Guapiles,10.171,-83.843
2010-04-11,00:29:00,4.7,22,30 km Sur Oeste de Punta Uvita,Subduccion,Valle Central,9.085,-83.928
2010-04-08,14:37:00,4,12,Frente a la costa de Parrita. Pacifico Central.,Subduccion,Parrita,9.41,-84.329
2010-04-01,14:50:00,5.2,29,26 km al nor oeste de Puerto Cortez,subduccion placa Cocos bajo micro placa Panama,"San Jose Alajuela Heredia San Isidro de Perez Zeledon Linda Vista Palmital, Zurqui, Zona Sur, Guayabal, Belen",9.0595,-83.7181
2010-03-30,19:12:00,3.8,26.5,14 km al suroeste de Division San Isidro de Perez Zeledon,tectonico por fallamiento local,"Perez Zeledon, Palmital, Alaska, Rivas, San Pedro Montes de Oca",9.484,-83.833
2010-03-23,16:35:00,4.5,50,80 km al noroeste del golfo de papagayo,tectonico por subduccion,Guanacaste,10.536,-86.429
2010-03-13,23:20:00,2.2,4,1 km al NE de Curridabat,Fallamiento Local,"Goicoechea, Montes de Oca, Sabanilla y Tres Rios",9.9,-84
2010-03-09,09:18:00,1.5,1,Crater Volcan Turrialba,Volcanico,Volcan Turrialba,10.008,-83.757
2010-03-05,22:49:00,4.3,7.5,2 km Sur de Sabanillas de Monte de Oca,Fallamiento Local,Valle Central,9.933,-84.032
2010-03-01,19:08:00,1.8,2,4 kms al nor-este del volcan irazu,fallamiento local,"oreamuno , pacayas, san rafael y san gerardo",9.972,-83.824
2010-03-01,19:12:00,2,2.5,3 km NE del V. Irazu,Fallamiento Local,"Sn Gerardo, Pacayas, Oreamuno",9.969,-83.833
2010-03-01,19:15:00,1.5,1,3km NE del V. Irazu,Fallamiento Local,"San Gerardo, San Rafael",9.959,-83.834
2010-03-01,19:55:00,2.9,2.4,3km NE del V Irazu,Fallamiento Local,"Sn Gerardo, Oreamuno, Pacayas, Sn Rafael",9.978,-83.836
2010-03-01,19:39:00,2,3.5,3 km NE V. Irazu,Fallamiento Local,"Sn Gdo, Sn Rafael, Oreamuno",9.974,-83.837
2010-03-01,19:43:00,2.4,2,3km NE del V Irazu,Fallamiento Local,"Sn Gdo, Sn Rafael, Oreamuno",9.974,-83.831
2010-03-01,19:46:00,2.4,2.3,3 kms al nor-este del volcan irazu,fallamiento local,"san gerardo, san rafael y oreamuno",9.967,-83.834
2010-03-01,19:48:00,2.1,3,3 kms al nor-este del volcan irazu,fallamiento local,"san gerardo , san rafael y oreamuno",9.975,-83.834
2010-03-01,19:09:00,1.9,3.5,3.5 Km NE V Irazu,Fallamiento Local,"Sn Gdo, Oreamuno, Pacayas, Sn Gdo",9.987,-83.843
2010-03-01,19:13:00,2.6,2,3 Km NE V Irazu,Fallamiento Local,"Oreamuno, Pacayas, Sn Rafael, Sn Gdo",9.965,-83.83
2010-03-01,19:36:00,3.2,2.6,3 Km NE V Irazu,Fallamiento Local,"Sn Gdo, Oreamuno, Sn Rafael",9.965,-83.828
2010-02-24,21:14:00,5.5,45,76 km Oeste de la Peninsula de Santa Elena,Subduccion,Santa Cruz Guanacaste,10.874,-86.617
2010-02-12,08:26:00,3.6,41,6km N Puerto Armuelles,"Tectonico asoc iteraccion Nazca,Coco y Bloque Panama",Zona Sur,8.338,-82.865
2010-02-09,12:22:00,5,21,20 km al Oeste de Laurel,Zona de Fractura de Panama,Zona Sur,8.418,-83.085
2010-02-08,20:50:00,4.4,44,15 Km NNO de Quepos,Subduccion,Valle Central,9.541,-84.18
2010-01-31,14:54:00,4.4,84,1/2 km al SO del Roble de Barva de Heredia,Subduccion,"San Jose, Esparza, Nandayure",10.069,-84.16
2010-01-30,19:47:00,2.9,6,2km SO de Aserri,Fallamiento Local,Aserri,9.853,-84.104
2010-01-28,13:10:00,4.6,78.9,"1 km al Este de Los Angeles de Barva, Heredia",Subduccion,San Ignacio de Acosta,10.085,-84.215
2010-01-24,09:24:00,3,5,2km Norte de Pacayas,tectonico por fallamiento local,Pacayas,9.976,-83.861
2010-01-24,22:14:00,4.6,20,28km SW de Laurel,subduccion,Zona Sur,8.215,-83.001
2010-01-23,03:08:00,5,20,20 km al noroeste de Punta Burica,subduccion,zona sur y valle centra,8.196,-83.058
2010-01-23,08:36:00,4.7,17,32 km al suroeste de Laurel de corredores,subduccion,"zona sur, pacifico central",8.284,-83.144
2010-01-23,08:43:00,5.1,20,32 km al suroeste de Laurel de corredores,subduccion,"zona sur, pacifico central y valle central",8.284,-83.141
2010-01-23,14:22:00,5.2,11,30 km al sur oeste de Laurel,subduccion,zona sur,8.29,-83.107
2010-01-23,16:06:00,3.3,12,25 km SW de Laurel Corredores,Subduccion (Coco bajo microplaca de Panama),Laurel de Corredores,8.249,-83.035
2010-01-23,16:13:00,3.9,12,23 km SW de Laurel Corredores,Subduccion,Laurel de Corredores,8.338,-83.096
2010-01-22,09:49:00,5,46,24 km NE de Parrita,Subduccion,Valle Central y Pacifico Central,9.596,-84.146
2010-01-22,17:14:00,4.2,24.5,59 km SW de Laurel Corredores,Fractura de Panama,Zona Sur,7.913,-82.982
2010-01-11,00:57:00,3.3,6,4 Kms sur del VolcÃ n PoÃ s,Tectonico por fallamiento local,Valle Central,10.141,-84.201
2011-12-26,03:22:00,1.6,4,2.2 km Oeste de Tobosi de Cartago,Fallamiento Local,Quebradillas de Cartago,9.843,-84.006
2011-12-26,22:15:00,3.6,6,8.5 km Oeste-Suroeste de San Pablo de Leon Cortes,Fallamiento Local,San Jose Centro y Zona de los Santos,9.67,-84.12
2011-12-25,20:51:28,3.4,4,4 km Suroeste de Tobosi de Cartago,Fallamiento Local,"Sabanilla de Montes de Oca, Quebradillas de Cartago",9.827,-84.018
2011-12-25,20:51:21,2.8,3,2.4 kn suroeste de Tobosi de Cartago,Fallamiento Local,Quebradillas de Cartago,9.839,-84.01
2011-12-25,21:21:00,2.2,4,Quebradillas de Cartago,Fallamiento Local,Quebradillas de Cartago,9.842,-84.014
2011-12-25,21:37:00,2.4,4,2.8 km suroeste de Tobosi de Cartago,Fallamiento Local,Quebradillas de Cartago,9.835,-84.01
2011-12-22,14:22:00,2.6,4,"2 Kilometros al Suroeste de Tobosi , Cartago",Tectonico por fallamiento local,"Desamparados , Tejar , Cartago",9.841,-84.006
2011-12-15,11:33:17,1.9,14,6 km al Sur de Aguas Zarcas,tectonico por fallamiento local,San Vicente de Alajuela,10.3537,-84.3427
2011-12-15,12:35:46,2,17,"2 km al Sur Este de Aguas Zarcas, Alajuela",tectonico por fallamiento local,San Vicente de Alajuela,10.3585,-84.3263
2011-12-15,15:12:03,2.3,87,"5 km Nor Este San Jose de la Montana, Heredia",Subduccion,San Vicente de Alajuela,10.083,-84.0783
2011-12-15,20:53:01,2.9,5,3 km al Sur Este de San Vicente de Alajuela,tectonico por fallamiento local,San Vicente de Alajuela,10.2722,-84.3706
2011-12-09,05:50:00,3,3,"6 km al oeste de Tejar del Guarco, Cartago.",Tectonico por falla local.,Cartago y San Jose,9.834,-84.014
2011-12-09,10:45:00,2.8,4,"6 km al oeste de Tejar del Guarco, Cartago.",Tectonico por falla local.,Cartago y San Jose,9.844,-84
2011-12-02,00:58:00,5,15,"15 km sur de Paso Canoas, zona sur",Fallamiento local,"zona sur, fuerte y Valle Central leve",8.4059,-82.8075
2011-11-29,14:46:00,2.7,10,34 kms Este de Ciudad Neilly,Fallamiento Local,Zona Sur.,8.675,-82.637
2011-11-16,11:42:00,4.6,2,59 km Nor Oeste de Tamarindo,Subduccion,Tamarindo. Guanacaste,10.36,-86.377
2011-11-07,16:35:00,5.8,150,"35 km al Sur de Granada, Nicaragua",DeformaciÃ³n de la placa del Coco,Valle Central de Costa Rica,11.62,-86.03
2011-11-02,11:20:00,3.5,16,22 Km Norte de Ciudad Neilly,Zona de Fractura de Panama,Zona Sur. Ciudad Neilly,8.836,-82.968
2011-11-02,13:01:00,5,28,38 km Sur De Paquera,Subducccion,Valle Central y Guanacaste,9.469,-84.891
